fname                                                        ,attribute      ,area     ,direction ,floor_height ,i_don_t_know_what_it_is ,construction_time ,community                    ,wherehome                                                                                ,is_it_close_to_the_subway ,homo   ,intermediary ,price  ,unitprice
8 18地铁双轨交通，边套全明3房1厅，业主诚意出售               ,3 室 1 厅 1 卫 ,65.18㎡  ,南北      ,高层(共7层)  ,                        ,1989年建造        ,双辽支路70弄小区             ,杨浦鞍山双辽支路70弄                                                                     ,安全性高交通便利近地铁    ,许亚   ,中原地产     , 410   ,62903元/㎡
买房子看单价，看采光通风，看户型，房东急卖370可卖！！！      ,2 室 1 厅 1 卫 ,68㎡     ,南北      ,中层(共6层)  ,                        ,1994年建造        ,桂平小区                     ,"徐汇康健桂平路258弄1-34号,桂平路260弄1-40号,桂平路296弄1-49号"                          ,繁华地段配套成熟近地铁    ,王心雨 ,我爱我家     , 410   ,60295元/㎡
近内环！全明电梯商品房！精装修！满五税少！业主诚心出售！     ,2 室 1 厅 1 卫 ,83.19㎡  ,东南      ,低层(共24层) ,                        ,1998年建造        ,天元公寓                     ,浦东金杨新村羽山路1980弄                                                                 ,                          ,王中宇 ,我爱我家     , 550   ,66114元/㎡
售后公房 低总价 12号线地铁口 旁边大润发宝龙旭辉广场          ,3 室 1 厅 1 卫 ,74.88㎡  ,南北      ,高层(共6层)  ,                        ,1996年建造        ,城建小区                     ,杨浦杨浦大桥双阳支路38弄                                                                 ,繁华地段配套成熟位置安静  ,师修立 ,中原地产     ,9999   ,9999
新上边套全明 房东出国急售 满五薇一 新凌大境 看中价格可谈     ,2 室 1 厅 1 卫 ,64.58㎡  ,南北      ,中层(共26层) ,                        ,1994年建造        ,西凌新邨                     ,"黄浦蓬莱公园西凌家宅路27弄,111弄,137弄,西藏南路1374弄,制造局路365弄,455弄,567弄"        ,品质小区繁华地段安全性高  ,尹正发 ,锦明地产     , 540   ,83618元/㎡
精装修南北通透，有钥匙看房随时，位置安静，总价低诚意出售！   ,2 室 1 厅 1 卫 ,81.15㎡  ,南北      ,低层(共24层) ,                        ,2005年建造        ,长岛花苑                     ,浦东金桥长岛路1560弄                                                                     ,品质小区配套成熟近地铁    ,杜辉   ,太平洋房屋   , 400   ,49292元/㎡
刚需   多层二楼 居家自住三房 业主城市出售 随时可看           ,3 室 2 厅 1 卫 ,90.36㎡  ,南        ,低层(共6层)  ,                        ,1994年建造        ,南华新村(浦东)               ,浦东周浦浦三路4688弄                                                                     ,两房朝南一梯两户小区中心  ,刘龙龙 ,鑫旺地产     , 320   ,35414元/㎡
国外委托，今日报价550                                        ,2 室 2 厅 1 卫 ,89.97㎡  ,南北      ,中层(共6层)  ,                        ,2005年建造        ,江南星城纯翠江南             ,闵行古美罗阳顾戴路1199弄                                                                 ,品质小区繁华地段安全性高  ,史庆祥 ,太平洋房屋   , 590   ,65578元/㎡
商业配套成熟 商品房 南北通透 满五   交通便捷 精装修          ,3 室 2 厅 1 卫 ,89.33㎡  ,南北      ,中层(共10层) ,                        ,2008年建造        ,万科金色雅筑                 ,浦东三林三林路1300弄1-63号                                                               ,品质小区繁华地段安全性高  ,陈强   ,太平洋房屋   , 825   ,92355元/㎡
（田林热搜榜1）双南两房，精装修，位置安静，采光好，停车方便  ,2 室 1 厅 1 卫 ,48㎡     ,南        ,低层(共6层)  ,                        ,1990年建造        ,田林十一村                   ,徐汇田林田林东路469号                                                                    ,繁华地段交通便利配套成熟  ,孙文雅 ,易居房友     , 360   ,75000元/㎡
有电梯 装修好 密度低 南北通透 高楼层视野好                   ,3 室 2 厅 1 卫 ,86.06㎡  ,南北      ,高层(共16层) ,                        ,2000年建造        ,世茂云图                     ,浦东康桥康涵路58弄                                                                       ,                          ,王昕怡 ,德到地产     , 595   ,69138元/㎡
双轨地轶，一梯两户，位置好不靠路，有钥匙随时看房，诚心出售！ ,2 室 1 厅 1 卫 ,64.26㎡  ,南北      ,低层(共6层)  ,                        ,1995年建造        ,银山小区                     ,浦东金杨新村银山路200弄                                                                  ,繁华地段交通便利配套成熟  ,郑关玉 ,我爱我家     , 395   ,61470元/㎡
送50平花园，精致风格小庭院，带地暖，30W精装修                ,2 室 1 厅 1 卫 ,49.83㎡  ,南北      ,低层(共6层)  ,                        ,1995年建造        ,田林十一村                   ,徐汇田林田林东路469号                                                                    ,一梯两户采光好房型正      ,熊彪彪 ,太平洋房屋   , 430   ,86294元/㎡
大两居 有电梯 低密宜居 南北通透 居家自住 保养好              ,2 室 1 厅 1 卫 ,70.75㎡  ,南北      ,低层(共14层) ,                        ,2012年建造        ,三林新村(258弄)              ,浦东三林永泰路258弄                                                                      ,                          ,阮焊针 ,德到地产     , 496   ,70107元/㎡
昌七小区 近医院 商品房 商业配套齐全 交通便捷 板楼            ,2 室 1 厅 1 卫 ,64.93㎡  ,南        ,低层(共6层)  ,                        ,1998年建造        ,昌七小区                     ,"浦东世博成山路1035弄,成山路963弄,南码头路1675弄,南码头路1621弄"                         ,繁华地段品质小区配套成熟  ,尚辉   ,太平洋房屋   , 450   ,69306元/㎡
近小区出入口，正南正北两房，偏离飞机航道。满五年只需要契税   ,2 室 2 厅 1 卫 ,73.69㎡  ,南北      ,中层(共6层)  ,                        ,1994年建造        ,万科城市花园                 ,闵行七宝七莘路3333弄                                                                     ,                          ,李连勇 ,太平洋房屋   , 438   ,59439元/㎡
新出带车位，老业主委托实惠三房中间楼层！还有多套三房和两房。 ,3 室 1 厅 1 卫 ,95.58㎡  ,南北      ,低层(共6层)  ,                        ,1996年建造        ,薛家宅小区                   ,徐汇康健冠生园路230弄1-59号                                                              ,配套成熟南北通透小区中心  ,林丹   ,我爱我家     , 570   ,59636元/㎡
地铁口品质小区，精装南北两房，真实在售，价格可谈，税费少！   ,2 室 2 厅 1 卫 ,73.19㎡  ,南北      ,中层(共6层)  ,                        ,1996年建造        ,万科城市花园                 ,闵行七宝七莘路3333弄                                                                     ,                          ,原会聪 ,太平洋房屋   , 418   ,57112元/㎡
地铁房，园林小区鸟语花香，高区南北通，看房随时，税少！！     ,3 室 1 厅 1 卫 ,97.55㎡  ,南北      ,高层(共28层) ,                        ,1996年建造        ,西凌新邨                     ,"黄浦蓬莱公园西凌家宅路27弄,111弄,137弄,西藏南路1374弄,制造局路365弄,455弄,567弄"        ,环境优美配套成熟近地铁    ,陈炳村 ,太平洋房屋   , 880   ,90211元/㎡
海阳新村，1楼，带花园，精装修，价格可以沟通，价格可以沟通    ,1 室 1 厅 1 卫 ,51.66㎡  ,南北      ,低层(共6层)  ,                        ,2000年建造        ,海阳新村                     ,"浦东三林灵岩南路380弄,410弄,长清路937弄,967弄,977弄,海阳路530弄,598弄"                  ,繁华地段安全性高交通便利  ,付金秀 ,中呈地产     , 330   ,63880元/㎡
买到就是篆到，电梯高区，南北通两房，小户型  选，看房有钥匙   ,2 室 1 厅 1 卫 ,62㎡     ,南北      ,高层(共32层) ,                        ,1998年建造        ,西凌新邨                     ,"黄浦蓬莱公园西凌家宅路27弄,111弄,137弄,西藏南路1374弄,制造局路365弄,455弄,567弄"        ,配套成熟交通便利南北通透  ,王浩然 ,太平洋房屋   , 518   ,83549元/㎡
接受长期置换，带两个阳台，万科新区品质住宅房，随时看房地铁！ ,2 室 2 厅 1 卫 ,75.92㎡  ,南北      ,中层(共6层)  ,                        ,1998年建造        ,万科城市花园                 ,闵行七宝七莘路3333弄                                                                     ,品质小区配套成熟近地铁    ,李春芳 ,太平洋房屋   , 425   ,55980元/㎡
金杨路750弄小区 近医院 近地铁 刚需两居 满五   急卖           ,2 室 1 厅 1 卫 ,83.5㎡   ,南北      ,中层(共6层)  ,                        ,2000年建造        ,金杨路750弄小区              ,浦东金桥金杨路750弄29-69号                                                               ,繁华地段配套成熟近地铁    ,邓燕燕 ,宏辉房产     , 432   ,51737元/㎡
送天井！！！ 实南 性价比 中心位置 满五年 出租   高           ,1 室 1 厅 1 卫 ,43.97㎡  ,南北      ,低层(共6层)  ,                        ,2000年建造        ,金光小区                     ,"浦东三林上南路4265弄,上南路4271弄"                                                      ,近地铁素质住户交通便利    ,陆宇辉 ,太平洋房屋   , 315   ,71640元/㎡
地铁口旁边新上房，精装，接受置换，南北通透，商业配套齐全！   ,2 室 2 厅 1 卫 ,87.39㎡  ,南北      ,中层(共6层)  ,                        ,2000年建造        ,万兆家园                     ,闵行七宝七莘路2855弄                                                                     ,繁华地段配套成熟近地铁    ,罗岁权 ,太平洋房屋   , 578   ,66141元/㎡
新挂牌，1楼带大院子，无个税，小区中心，单独委托，看房方便！  ,2 室 1 厅 1 卫 ,78.03㎡  ,南北      ,低层(共6层)  ,                        ,1995年建造        ,金樟花苑                     ,浦东金杨新村栖山路1555弄1-34号                                                           ,品质小区环境优美配套成熟  ,连禹博 ,我爱我家     , 488   ,62541元/㎡
低密宜居 产权清晰 中间楼层采光好 南北通透 精装可拎包入住     ,3 室 1 厅 1 卫 ,69.43㎡  ,南北      ,中层(共7层)  ,                        ,1994年建造        ,龙南七村                     ,徐汇龙华龙南七村1-82号                                                                   ,                          ,王冬丽 ,翔飞地产     , 470   ,67695元/㎡
满五   税费低 产权清晰 医疗配套成熟 商业配套成熟             ,2 室 2 厅 1 卫 ,76㎡     ,南北      ,低层(共18层) ,                        ,2012年建造        ,大华锦绣华城二街区           ,"浦东北蔡华绣路18弄,北艾路1660弄"                                                        ,品质小区繁华地段小区中心  ,周奎   ,太平洋房屋   , 540   ,71053元/㎡
大两居 超低密度 高楼层视野无遮挡 装修好 动静分离             ,2 室 1 厅 1 卫 ,78.57㎡  ,南        ,高层(共6层)  ,                        ,2000年建造        ,联城花苑                     ,浦东世博耀华路555弄1-18号                                                                ,繁华地段配套成熟近地铁    ,陈敏   ,园创友家     , 480   ,61093元/㎡
业主急卖徐家汇烫金地段 宜山路地铁口三轨交 精装公寓 通燃气    ,3 室 2 厅 2 卫 ,88.08㎡  ,南        ,高层(共21层) ,                        ,2016年建造        ,环线广场                     ,徐汇田林宜山路515号                                                                      ,繁华地段配套成熟近地铁    ,王佳豪 ,民胜置业     , 421.2 ,47821元/㎡
。新上甄价两房！南北双阳台，  必看好房，品质小区，鸟语花香   ,2 室 2 厅 1 卫 ,91.62㎡  ,南北      ,中层(共6层)  ,                        ,2006年建造        ,大华锦绣华城十二街区         ,浦东北蔡锦绣路3088弄                                                                     ,交通便利南北通透一梯两户  ,张晶梅 ,太平洋房屋   ,9999   ,9999
陆家嘴地段 配套齐全 税费少 楼层好 钥匙房 诚心出售            ,3 室 0 厅 1 卫 ,74.08㎡  ,南北      ,中层(共6层)  ,                        ,1985年建造        ,潍坊九村                     ,"浦东潍坊新村浦电路330弄,崂山路644弄,崂山路638弄"                                        ,                          ,路彩虹 ,我爱我家     , 580   ,78294元/㎡
罗山三村 医疗配套成熟 70年产权 临地铁 中间楼层               ,2 室 1 厅 1 卫 ,54.65㎡  ,南北      ,中层(共6层)  ,                        ,1998年建造        ,罗山三村                     ,"浦东金杨新村德平路143弄,博山东路111弄,德平路155弄,龙居路150弄,龙居路180弄,栖山路1088弄" ,                          ,李一帆 ,太平洋房屋   , 330   ,60385元/㎡
正规商品房 大两房 近医院 交通便利 南北通透 低密宜居          ,2 室 2 厅 1 卫 ,82.55㎡  ,南北      ,低层(共6层)  ,                        ,2005年建造        ,江南星城叠翠江南             ,闵行古美罗阳顾戴路1325弄1-123号                                                          ,品质小区繁华地段近地铁    ,苏向阳 ,太平洋房屋   , 520   ,62993元/㎡
品质小区！推荐等级SSS！小区央座！满五低税！一家人宜居！      ,3 室 2 厅 1 卫 ,89.33㎡  ,南北      ,中层(共8层)  ,                        ,2010年建造        ,万科金色雅筑                 ,浦东三林三林路1300弄1-63号                                                               ,送车位品质小区配套成熟    ,邓子健 ,太平洋房屋   , 750   ,83959元/㎡
全网  价格！（房东急售.急 钱）全屋精装.中央空调加地暖！      ,2 室 1 厅 1 卫 ,55.59㎡  ,南北      ,中层(共18层) ,                        ,1998年建造        ,永兴小马路70号小区           ,静安西藏北路永兴小马路70号                                                               ,繁华地段配套成熟交通便利  ,李寒   ,上海兑士房产 , 343   ,61702元/㎡
房东诚意卖，突破小区历史单价，商品房小区，看房联。系维。护人 ,2 室 2 厅 1 卫 ,84.72㎡  ,南        ,中层(共6层)  ,                        ,2003年建造        ,伟业金锦苑一村               ,浦东金桥莱阳路881弄1-54号                                                                ,                          ,穆波   ,我爱我家     , 500   ,59018元/㎡
双澧溪 景观楼层双南户型 可做两房满五祱少 近18号线随时看      ,1 室 1 厅 1 卫 ,63.16㎡  ,南        ,高层(共15层) ,                        ,2014年建造        ,明天华城                     ,"浦东周浦康沈路2262弄,周星路500弄"                                                       ,品质小区环境优美配套成熟  ,杜建军 ,我爱我家     , 410   ,64915元/㎡
高区南北两房，主卧可看江景，售后公房已买诚售。位置佳近地铁   ,2 室 1 厅 1 卫 ,62㎡     ,南北      ,高层(共32层) ,                        ,1997年建造        ,西凌新邨                     ,"黄浦蓬莱公园西凌家宅路27弄,111弄,137弄,西藏南路1374弄,制造局路365弄,455弄,567弄"        ,繁华地段配套成熟近地铁    ,黄栋   ,太平洋房屋   , 548   ,88388元/㎡
临沂八村，临近地铁，送大露台，两房朝南，户型正气，位置安静   ,2 室 1 厅 1 卫 ,52㎡     ,南北      ,低层(共6层)  ,                        ,1990年建造        ,临沂八村(23弄)               ,浦东南码头兰陵路23弄                                                                     ,近地铁两房朝南赠露台      ,胡永亚 ,太平洋房屋   , 330   ,63462元/㎡
坐拥双地铁沿线 精装双南户型两房 置换低市场价80急售！         ,2 室 2 厅 1 卫 ,83.54㎡  ,南北      ,中层(共6层)  ,                        ,1996年建造        ,东陆新村六街坊               ,"浦东金桥巨峰路176弄,巨峰路90弄"                                                         ,配套成熟近地铁位置安静    ,陈正玉 ,我爱我家     , 380   ,45488元/㎡
只有契税 出门就是地铁 南北通透采光好 配套齐全 景观位置       ,2 室 2 厅 1 卫 ,88.3㎡   ,南北      ,中层(共14层) ,                        ,2013年建造        ,明天华城                     ,"浦东周浦康沈路2262弄,周星路500弄"                                                       ,近地铁南北通透靠近花园    ,周艳荣 ,宏辉房产     , 520   ,58891元/㎡
小区花园位置 正规商品房 南北通透 电梯房 环境好 送车位        ,2 室 2 厅 1 卫 ,87.54㎡  ,南        ,低层(共14层) ,                        ,2012年建造        ,绿地崴廉公寓                 ,浦东高行东靖路2250弄                                                                     ,品质小区厅带阳台一梯两户  ,蔡福强 ,我爱我家     ,9999   ,9999
！总监力推！房东降价急售！看房随时有钥匙，房东接受置换客户！ ,2 室 2 厅 1 卫 ,53.66㎡  ,南北      ,中层(共6层)  ,                        ,1989年建造        ,竹园新村(浦东)               ,"浦东源深潍坊路335弄1支弄,潍坊路335弄2支弄,潍坊路335弄3支弄"                             ,繁华地段配套成熟近地铁    ,戴溢桐 ,太平洋房屋   , 406   ,75662元/㎡
此房亮点就是地铁口3楼69平还是3居室，生活便利配套完善         ,3 室 0 厅 1 卫 ,68.94㎡  ,南北      ,中层(共6层)  ,                        ,1987年建造        ,辽源四村                     ,杨浦鞍山辽源四村1-71号                                                                   ,交通便利配套成熟近地铁    ,黄文斌 ,中原地产     , 500   ,72527元/㎡
正规商品房 大两房 近医院 交通便利 南北通透 低密宜居          ,2 室 2 厅 1 卫 ,82.55㎡  ,南北      ,低层(共6层)  ,                        ,2005年建造        ,江南星城叠翠江南             ,闵行古美罗阳顾戴路1325弄1-123号                                                          ,品质小区繁华地段近地铁    ,苏向阳 ,太平洋房屋   , 520   ,62993元/㎡
世纪好房，双南两房，你值得拥有                               ,2 室 1 厅 1 卫 ,65.69㎡  ,南        ,高层(共18层) ,                        ,1993年建造        ,耀高大楼                     ,"浦东世博耀华路560,570,580号"                                                            ,                          ,尹意   ,我爱我家     , 423   ,64394元/㎡
40万精装全，带30平花园， 近地铁商场 ，带固定车位             ,3 室 1 厅 1 卫 ,74㎡     ,南北      ,低层(共6层)  ,                        ,1996年建造        ,龙柏七村                     ,闵行龙柏金汇青杉路417弄                                                                  ,                          ,叶龙涛 ,太平洋房屋   , 450   ,60811元/㎡
潜龙在渊（房价的涨幅都是悄无声息的）龙华会开业了！！         ,2 室 1 厅 1 卫 ,80㎡     ,南北      ,高层(共6层)  ,                        ,1995年建造        ,海波花苑                     ,"徐汇龙华龙华西路31弄52-73号,龙华西路81弄70-92号"                                        ,品质小区近地铁小区中心    ,程睿博 ,永同成地产   , 529   ,66125元/㎡
徐汇内环边电梯小洋房 （已买降至450W急抛）带车位 精装修       ,2 室 1 厅 1 卫 ,70.25㎡  ,南        ,中层(共6层)  ,                        ,2002年建造        ,锦馨苑                       ,"徐汇田林古井路38弄,古井路180号"                                                         ,近地铁两房朝南位置安静    ,林鑫   ,恩帆地产     , 499   ,71033元/㎡
近百W豪华装修，复式带阁楼送露台，低于市场价，拎包入住，急售  ,2 室 2 厅 1 卫 ,86.05㎡  ,南北      ,高层(共6层)  ,                        ,2000年建造        ,蓝色港湾(公寓住宅)           ,闵行古美罗阳龙茗路1458弄                                                                 ,繁华地段配套成熟近地铁    ,曹明   ,我爱我家     , 585   ,67984元/㎡
84平 崮山小区二街坊 精装修 南北通透 楼层好 视野无遮挡        ,3 室 2 厅 1 卫 ,84.62㎡  ,南北      ,低层(共6层)  ,                        ,2000年建造        ,崮山小区二街坊               ,浦东洋泾灵山路1415弄                                                                     ,繁华地段安全性高配套成熟  ,秦旋   ,太平洋房屋   , 696   ,82251元/㎡
8号地铁200米，双澧溪，南北通2房，满五  ，带车位              ,2 室 1 厅 1 卫 ,80.91㎡  ,南北      ,低层(共14层) ,                        ,2016年建造        ,繁荣华庭                     ,浦东周浦繁荣路266弄                                                                      ,品质小区环境优美配套成熟  ,陈嘉诚 ,我爱我家     , 518   ,64022元/㎡
近地铁 南北通透 商品房 出行方便 板楼 满五                    ,2 室 1 厅 1 卫 ,49.62㎡  ,南北      ,低层(共6层)  ,                        ,1996年建造        ,田林十村                     ,徐汇田林宜山路691弄                                                                      ,配套成熟繁华地段近地铁    ,林家鑫 ,太平洋房屋   , 380   ,76583元/㎡
急售  次新房2梯2户 业主已买好房 诚意出售  看房随时           ,2 室 2 厅 1 卫 ,88.9㎡   ,南北      ,低层(共18层) ,                        ,2016年建造        ,阳光城丽景湾PLUS             ,浦东康桥上南路6500弄                                                                     ,品质小区次新小区配套成熟  ,张丽   ,德到地产     , 550   ,61868元/㎡
"急售 无违章  带双花园 送精装 近蓝村路4,6线 钥匙"            ,2 室 1 厅 1 卫 ,58.35㎡  ,南北      ,低层(共6层)  ,                        ,1988年建造        ,蓝高小区                     ,"浦东塘桥蓝村路60弄,蓝村路30弄"                                                          ,近地铁配套成熟繁华地段    ,张鹏浩 ,太平洋房屋   , 378   ,64782元/㎡
店长实力推荐 装修精细 拎包入住 理想楼层 税费少               ,2 室 1 厅 1 卫 ,71.87㎡  ,南北      ,中层(共6层)  ,                        ,2000年建造        ,古龙苑                       ,闵行古美罗阳顾戴路388弄                                                                  ,配套成熟采光好环境优美    ,杨梦蔺 ,太平洋房屋   , 499   ,69431元/㎡
001年商品房 2楼 满五V一 13号北蔡站600米                      ,2 室 2 厅 1 卫 ,92.79㎡  ,南        ,低层(共6层)  ,                        ,2000年建造        ,紫竹轩                       ,"浦东北蔡莲园路180弄,莲园路150弄"                                                        ,                          ,王宏伟 ,我爱我家     , 645   ,69512元/㎡
急售急售！带充电桩车位 婚房精装 房东看好房急售 议价空间大    ,1 室 1 厅 1 卫 ,54.2㎡   ,南北      ,中层(共6层)  ,                        ,1998年建造        ,金桥新村四街坊长岛小区       ,"浦东金桥长岛路1267弄,长岛路1203弄,长岛路1201弄"                                         ,                          ,张雨婷 ,太平洋房屋   , 330   ,60886元/㎡
紧邻内环，全明户型，出门地铁，紧邻商场，随时看房，接受置换   ,2 室 1 厅 1 卫 ,70.17㎡  ,南        ,低层(共25层) ,                        ,1996年建造        ,锦绣河山                     ,浦东金杨新村博山东路20弄1-7号(单)                                                        ,繁华地段小户型房型正      ,钟文俊 ,太平洋房屋   , 430   ,61280元/㎡
新上房源 近地铁 业主已购急售 价格可谈 周边配套齐全           ,2 室 1 厅 1 卫 ,55.73㎡  ,南北      ,高层(共6层)  ,                        ,1988年建造        ,南泉小区(1300弄)             ,浦东塘桥南泉路1300弄                                                                     ,近地铁配套成熟主卧朝南    ,李浩文 ,太平洋房屋   , 350   ,62803元/㎡
别墅小区，有 实南，双轨环绕，电梯高区，一梯两户，已买急售    ,2 室 2 厅 1 卫 ,89.66㎡  ,南北      ,高层(共14层) ,                        ,2013年建造        ,湾流域城(三期公寓住宅)       ,浦东三林尚博路366弄                                                                      ,品质小区配套成熟近地铁    ,龚水红 ,太平洋房屋   , 755   ,84208元/㎡
新上三房朝南，精装保养好，业主置换诚售，看房随时，满五税少！ ,3 室 1 厅 1 卫 ,89.5㎡   ,南北      ,高层(共6层)  ,                        ,1996年建造        ,广海花园                     ,闵行七宝七莘路2315弄                                                                     ,配套成熟环境优美交通便利  ,陈伟   ,太平洋房屋   , 431   ,48157元/㎡
眞房   长风公园商圈 板楼 高层 电梯房 近地铁 随时看房         ,3 室 1 厅 1 卫 ,62.41㎡  ,南北      ,高层(共6层)  ,                        ,1985年建造        ,长风二村风荷苑               ,普陀长风长风二村101-186号                                                                ,品质小区繁华地段交通便利  ,郑寅虎 ,我爱我家     , 435   ,69701元/㎡
速看！直降100w急售 ！小区前排视野很 nice                     ,3 室 2 厅 1 卫 ,89.61㎡  ,南北      ,中层(共6层)  ,                        ,1999年建造        ,共江小区                     ,宝山通河新村通河九村78-155号                                                             ,交通便利配套成熟近地铁    ,方晓婷 ,太平洋房屋   , 554   ,61824元/㎡
海南站！位置安静，停车方便！诚意出售！                       ,2 室 1 厅 1 卫 ,56.7㎡   ,南北      ,中层(共6层)  ,                        ,1993年建造        ,康宁坊                       ,徐汇康健浦北路21弄                                                                       ,品质小区环境优美配套成熟  ,王涛   ,我爱我家     , 398   ,70195元/㎡
九号线地铁口 动迁税少 南北通透采光好 带院                    ,2 室 2 厅 1 卫 ,86.97㎡  ,南北      ,低层(共6层)  ,                        ,2005年建造        ,金舍苑(金桥新城四期)         ,浦东金桥金高路2131弄                                                                     ,品质小区南北通透一梯两户  ,杨照耀 ,太平洋房屋   , 650   ,74739元/㎡
杨思前滩，梅山苑，前滩一路之隔，业主急售，附车位，看房有钥匙 ,2 室 1 厅 1 卫 ,68.52㎡  ,南北      ,中层(共6层)  ,                        ,1999年建造        ,恒大华城梅山苑               ,浦东三林西营南路18弄1-57号                                                               ,交通便利配套成熟近地铁    ,乔海宇 ,中呈地产     , 410   ,59837元/㎡
送产权车位，半年置换时间，次新小区，地铁口，精装修，次新出售 ,2 室 2 厅 1 卫 ,85.4㎡   ,南北      ,中层(共14层) ,                        ,2015年建造        ,日月光水岸新郡               ,浦东张江祖冲之路2201弄                                                                   ,                          ,宁建兵 ,太平洋房屋   , 592   ,69321元/㎡
烫金地段必看好房，电梯房 博山小区 满五 住房                  ,3 室 1 厅 1 卫 ,85.24㎡  ,南        ,低层(共25层) ,                        ,1990年建造        ,博山小区                     ,"浦东洋泾博山路78弄,博山路12弄,博山路50弄"                                               ,                          ,周鹏飞 ,我爱我家     , 495   ,58072元/㎡
景观次顶楼 东方 福外 建平 都没用   不靠路看房方便有K         ,2 室 2 厅 1 卫 ,93.3㎡   ,南北      ,高层(共8层)  ,                        ,2010年建造        ,张江名流豪庭                 ,浦东唐镇春泉路45弄                                                                       ,品质小区繁华地段安全性高  ,陈明媛 ,我爱我家     , 600   ,64309元/㎡
六师进才北丨崮山畅销户型 中间楼层丨花园位置丨欢迎致电来询！  ,2 室 1 厅 1 卫 ,50.79㎡  ,南北      ,中层(共6层)  ,                        ,1997年建造        ,崮山小区四街坊               ,浦东洋泾羽山路1445弄                                                                     ,配套成熟近地铁位置安静    ,陈军   ,太平洋房屋   , 425   ,83678元/㎡
主打真实丨40萬豪装丨全屋地暖丨带租赁车位丨买进价高增值税低   ,2 室 2 厅 1 卫 ,83.5㎡   ,南北      ,低层(共6层)  ,                        ,1999年建造        ,金杨路750弄小区              ,浦东金桥金杨路750弄29-69号                                                               ,近地铁一梯两户拎包入住    ,赵福增 ,我爱我家     , 399   ,47785元/㎡
医疗配套成熟 交通便利 板楼 产权清晰 精装好房 购物方便        ,3 室 1 厅 1 卫 ,76.39㎡  ,南北      ,高层(共6层)  ,                        ,1999年建造        ,东陆新村七街坊               ,"浦东金桥五莲路1424弄,博兴路1663弄"                                                      ,品质小区环境优美繁华地段  ,胡子晗 ,太平洋房屋   , 353   ,46211元/㎡
交通便利 商业配套齐全 商品房 环境优美 低密度社区 临地铁      ,2 室 2 厅 1 卫 ,85㎡     ,南北      ,中层(共11层) ,                        ,2000年建造        ,万科优诗美地                 ,闵行七宝中春路8888弄1-81号                                                               ,品质小区环境优美繁华地段  ,李勇   ,太平洋房屋   , 598   ,70353元/㎡
大木桥路地铁口，准动迁房，南北通透采光好，总价低，看房有钥匙 ,2 室 1 厅 1 卫 ,40㎡     ,南北      ,共5层        ,                        ,1980年建造        ,江南一村                     ,徐汇徐家汇大木桥路600弄                                                                  ,繁华地段交通便利配套成熟  ,李家乐 ,易居房友     , 340   ,85000元/㎡
蓝村路双规  电梯双南两房 满五税少 性价比高  采光视野佳       ,2 室 1 厅 1 卫 ,65.4㎡   ,南北      ,高层(共18层) ,                        ,2003年建造        ,塘东小区                     ,"浦东塘桥蓝村路471弄,峨山路180弄"                                                        ,环境优美配套成熟品质小区  ,王瑾瑾 ,我爱我家     , 456   ,69725元/㎡
潍坊新村 电梯房 购物方便 近医院 满五   板楼 南北通透         ,2 室 1 厅 1 卫 ,51.31㎡  ,南北      ,高层(共6层)  ,                        ,1986年建造        ,潍坊九村                     ,"浦东潍坊新村浦电路330弄,崂山路644弄,崂山路638弄"                                        ,配套成熟繁华地段低密度    ,龚凤敏 ,太平洋房屋   , 426   ,83025元/㎡
同户型电梯高区750萬急售丨方园公里视野无遮挡丨家具家电全送    ,2 室 2 厅 1 卫 ,87.62㎡  ,南        ,中层(共35层) ,                        ,2014年建造        ,华悦家园                     ,徐汇漕河泾虹漕路19弄                                                                     ,次新小区近地铁素质住户    ,孙宛安 ,太平洋房屋   ,9999   ,9999
近期必卖 双南电梯两房两厅 阳光刺眼 看房需要带墨镜！有钥匙    ,2 室 2 厅 1 卫 ,70㎡     ,南北      ,高层(共13层) ,                        ,1998年建造        ,宛轻公寓                     ,徐汇徐家汇宛平南路383-385号                                                              ,繁华地段配套成熟安全性高  ,蔡涛生 ,易居房友     , 540   ,77143元/㎡
少见的边套全明，小区央座，采光无遮挡，动迁满五  ，房东诚售   ,2 室 1 厅 1 卫 ,57.93㎡  ,南北      ,中层(共6层)  ,                        ,1995年建造        ,金杨新村二街坊               ,"浦东金杨新村金口路44弄,云山路1043弄,云山路1045弄,金杨路273弄1-24号"                     ,品质小区繁华地段近地铁    ,单文哲 ,我爱我家     , 360   ,62144元/㎡
花园洋房 看过来看过来！书香氛围浓厚 楼层位置佳采光充足       ,2 室 2 厅 1 卫 ,95.4㎡   ,南北      ,共4层        ,                        ,2004年建造        ,田林兰桂坊                   ,徐汇田林桂林路625弄                                                                      ,繁华地段近地铁南北通透    ,李瑞欣 ,太平洋房屋   , 688   ,72118元/㎡
新政免费咨询丨徐家汇中心地段丨专业物管丨附赠产权车位丨钥匙房 ,2 室 2 厅 1 卫 ,98.73㎡  ,南北      ,中层(共20层) ,                        ,2003年建造        ,海螺花园                     ,徐汇徐家汇宛平南路388弄1-6号                                                             ,繁华地段交通便利配套成熟  ,洪小鹏 ,太平洋房屋   , 720   ,72927元/㎡
